SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$808000,8421376,Debug_RegionSRAM,,USED
$808002,8421378,DebugConst_DemoRecorder,,USED
$808004,8421380,DebugConst_DebugMode,,USED
$808006,8421382,DebugConst_DebugScrolling,,USED
$808008,8421384,DebugConst_DisableAudio,,USED
$80800A,8421386,UploadToAPU_Hardcoded,,USED
$808024,8421412,UploadToAPU_long,,USED
$808028,8421416,UploadToAPU,,USED
$80802F,8421423,.upload,,USED
$808059,8421465,SendAPUData,,USED
$808063,8421475,.retry,,USED
$808077,8421495,.crash,,USED
$808079,8421497,.AABB,,USED
$80807F,8421503,.uploadDataBlock,,USED
$80808A,8421514,.loopNextData,,USED
$808092,8421522,.wait,,USED
$808099,8421529,.uploadData,,USED
$8080A4,8421540,.wait2,,USED
$8080AA,8421546,.inc,,USED
$8080AE,8421550,.processDataBlock,,USED
$8080D9,8421593,.wait3,,USED
$8080F2,8421618,.return,,USED
$808100,8421632,IncYTwice_OverflowCheck,,USED
$808103,8421635,IncY_OverflowCheck,,USED
$808107,8421639,IncY_OverflowCheck_overflow,,USED
$808111,8421649,GenerateRandomNumber,,USED
$808146,8421702,UpdateHeldInput,,USED
$808175,8421749,.unheld,,USED
$80817B,8421755,.positive,,USED
$80817E,8421758,.return,,USED
$80818E,8421774,BitIndexToByteIndexAndBitmask,,USED
$808192,8421778,.dontCrash,,USED
$80819A,8421786,.loop,,USED
$8081A6,8421798,SetBossBitsInAForCurrentArea,,USED
$8081C0,8421824,UNUSED_ClearBossBitsInAForCurrentArea_8081C0,,USED
$8081DC,8421852,CheckIfBossBitsForCurrentAreaMatchAnyBitsInA,,USED
$8081F5,8421877,.match,,USED
$8081FA,8421882,MarkEvent_inA,,USED
$808212,8421906,UnmarkEvent_inA,,USED
$808233,8421939,CheckIfEvent_inA_HasHappened,,USED
$80824A,8421962,.marked,,USED
$80824F,8421967,Write_supermetroid_ToSRAM,,USED
$808253,8421971,.loop,,USED
$808261,8421985,CheckForNonCorruptSRAM,,USED
$808286,8422022,.corruptLoop,,USED
$808294,8422036,.nonCorrupt,,USED
$808297,8422039,.nonCorruptLoop,,USED
$8082AB,8422059,.return,,USED
$8082AD,8422061,Text_madadameyohn,,USED
$8082B9,8422073,Text_supermetroid,,USED
$8082C5,8422085,WaitUntilTheEndOfAVBlank,,USED
$8082C9,8422089,.waitVBlankStart,,USED
$8082CE,8422094,.waitVBlankEnd,,USED
$8082D6,8422102,A_Y_16bit_UnsignedMultiplication,,USED
$808338,8422200,WaitForNMI,,USED
$808343,8422211,.wait,,USED
$80834B,8422219,EnableNMI,,USED
$80835D,8422237,DisableNMI,,USED
$80836F,8422255,SetForceBlankAndWaitForNMI,,USED
$808382,8422274,ClearForceBlankAndWaitForNMI,,USED
$808395,8422293,UNUSED_UpdateCGRAM_808395,,USED
$8083BD,8422333,UNUSED_WriteYBytesOfATo_000000_X_8bit_8083BD,,USED
$8083C5,8422341,.loop,,USED
$8083D0,8422352,UNUSED_WriteYBytesOfATo_000000_X_16bit_8083D0,,USED
$8083D6,8422358,.loop,,USED
$8083E3,8422371,UNUSED_WriteYBytesOfATo_7E0000_X_8bit_8083E3,,USED
$8083EB,8422379,.loop,,USED
$8083F6,8422390,WriteYBytesOfATo_7E0000_X_16bit,,USED
$8083FC,8422396,.loop,,USED
$808409,8422409,WriteYBytesOfATo_7F0000_X_16bit,,USED
$80840F,8422415,.loop,,USED
$80841C,8422428,Boot,,USED
$808423,8422435,.bank80,,USED
$80843C,8422460,.wait3Frames,,USED
$808441,8422465,..wait,,USED
$80844E,8422478,.loop,,USED
$808462,8422498,SoftReset,,USED
$808475,8422517,.wait,,USED
$80847A,8422522,.wait3Frames,,USED
$808482,8422530,CommonBootSection,,USED
$808493,8422547,.clearBank7E,,USED
$808525,8422693,.wait,,USED
$80852A,8422698,.wait3Frames,,USED
$808573,8422771,Crash_Handler,,USED
$808577,8422775,UNUSED_WaitAFrames_808577,,USED
$808580,8422784,.waitNMI,,USED
$80858C,8422796,LoadMirrorOfCurrentAreasMapExplored,,USED
$808597,8422807,.loop,,USED
$8085B6,8422838,UNUSED_Generic_Bitmasks,,USED
$8085C6,8422854,MirrorCurrentAreasMapExplored,,USED
$8085D1,8422865,.loop,,USED
$8085F4,8422900,.return,,USED
$8085F6,8422902,NTSC_PAL_SRAM_MappingCheck,,USED
$808602,8422914,.region,,USED
$808614,8422932,.japan,,USED
$80861B,8422939,.failedRegion,,USED
$808691,8423057,.gotoCrash,,USED
$808693,8423059,.SRAMCheck,,USED
$808698,8423064,.backupSRAM,,USED
$8086AA,8423082,.clearSRAM,,USED
$8086B8,8423096,.writeSRAM,,USED
$8086C7,8423111,.loop,,USED
$8086D0,8423120,.verifySRAM,,USED
$8086D5,8423125,.restoreSRAM,,USED
$8086E1,8423137,.return,,USED
$8086E3,8423139,.failedSRAMCheck,,USED
$80875B,8423259,.crash,,USED
$80875D,8423261,Initialise_CPU_IO_Registers,,USED
$808792,8423314,InitialisePPURegisters,,USED
$8088B4,8423604,UNUSED_ClearHighRAM_8088B4,,USED
$8088D1,8423633,WriteALoadOf_1C2F,,USED
$8088EB,8423659,Write_800h_Bytes_Of_A_To_7E3000,,USED
$8088FE,8423678,Write_800h_Bytes_Of_A_To_7E4000,,USED
$808911,8423697,Write_800h_Bytes_Of_A_To_7E6000,,USED
$808924,8423716,HandleFadingOut,,USED
$808932,8423730,.fadeOut,,USED
$808949,8423753,.disableFBlank,,USED
$80894B,8423755,.return,,USED
$80894D,8423757,HandleFadingIn,,USED
$80895B,8423771,.fadeIn,,USED
$80896C,8423788,.return,,USED
$80896E,8423790,Finalise_OAM,,USED
$80898D,8423821,.clearOAMStackPointer,,USED
$808992,8423826,.spriteY00F0,,USED
$808B1A,8424218,ClearHighOAM,,USED
$808B4F,8424271,QueueMode7Transfers,,USED
$808B55,8424277,.loop,,USED
$808B62,8424290,.CGRAM,,USED
$808B8B,8424331,.VRAM,,USED
$808BBA,8424378,HandleMode7Transfers,,USED
$808BD1,8424401,.return,,USED
$808BD3,8424403,ProcessMode7Transfers,,USED
$808BD4,8424404,.loop,,USED
$808BE0,8424416,.CGRAM,,USED
$808C11,8424465,.VRAM,,USED
$808C4B,8424523,.VRAMTiles,,USED
$808C83,8424579,HandleVRAMWriteTable_ScrollingDMAs,,USED
$808C96,8424598,.loop,,USED
$808CB2,8424626,.skip,,USED
$808CC9,8424649,.done,,USED
$808CD8,8424664,ExecuteHorizontalScrollingDMAs,,USED
$808D44,8424772,.BG2,,USED
$808DAB,8424875,.return,,USED
$808DAC,8424876,ExecuteVerticalScrollingDMAs,,USED
$808E26,8424998,.BG2,,USED
$808E86,8425094,.crash,,USED
$808E88,8425096,.continue,,USED
$808EA1,8425121,.return,,USED
$808EA2,8425122,HandleVRAMReadTable,,USED
$808EAC,8425132,.readTable,,USED
$808EB6,8425142,.loop,,USED
$808EEF,8425199,.done,,USED
$808EF4,8425204,CheckIfMusicIsQueued,,USED
$808EFB,8425211,.loop,,USED
$808F08,8425224,.nonZeroTimer,,USED
$808F0C,8425228,HandleMusicQueue,,USED
$808F18,8425240,.positive,,USED
$808F47,8425287,.negative,,USED
$808F5D,8425309,.clearTimer,,USED
$808F62,8425314,.musicData,,USED
$808FA3,8425379,UNUSED_QueueMusicDataOrTrack_808FA3,,USED
$808FC1,8425409,QueueMusicDataOrTrack_8FrameDelay,,USED
$808FF3,8425459,.return,,USED
$808FF7,8425463,QueueMusicDataOrTrack_YFrameDelay,,USED
$809012,8425490,.setTimer,,USED
$80901E,8425502,.return,,USED
$809021,8425505,QueueSound,,USED
$80902B,8425515,QueueSound_Lib1_Max9,,USED
$809035,8425525,QueueSound_Lib1_Max3,,USED
$80903F,8425535,QueueSound_Lib1_Max1,,USED
$809049,8425545,QueueSound_Lib1_Max6,,USED
$809051,8425553,QueueSound_Lib1,,USED
$809084,8425604,.queueSound,,USED
$809092,8425618,.return,,USED
$809096,8425622,.queueFull,,USED
$8090A3,8425635,QueueSound_Lib2_Max15,,USED
$8090AD,8425645,QueueSound_Lib2_Max9,,USED
$8090B7,8425655,QueueSound_Lib2_Max3,,USED
$8090C1,8425665,QueueSound_Lib2_Max1,,USED
