808000,Debug_RegionSRAM,
808002,DebugConst_DemoRecorder,
808004,DebugConst_DebugMode,
808006,DebugConst_DebugScrolling,
808008,DebugConst_DisableAudio,
80800A,UploadToAPU_Hardcoded,
808024,UploadToAPU_long,
808028,UploadToAPU,
80802F,.upload,
808059,SendAPUData,
808063,.retry,
808077,.crash,
808079,.AABB,
80807F,.uploadDataBlock,
80808A,.loopNextData,
808092,.wait,
808099,.uploadData,
8080A4,.wait2,
8080AA,.inc,
8080AE,.processDataBlock,
8080D9,.wait3,
8080F2,.return,
808100,IncYTwice_OverflowCheck,
808103,IncY_OverflowCheck,
808107,IncY_OverflowCheck_overflow,
808111,GenerateRandomNumber,
808146,UpdateHeldInput,
808175,.unheld,
80817B,.positive,
80817E,.return,
80818E,BitIndexToByteIndexAndBitmask,
808192,.dontCrash,
80819A,.loop,
8081A6,SetBossBitsInAForCurrentArea,
8081C0,UNUSED_ClearBossBitsInAForCurrentArea_8081C0,
8081DC,CheckIfBossBitsForCurrentAreaMatchAnyBitsInA,
8081F5,.match,
8081FA,MarkEvent_inA,
808212,UnmarkEvent_inA,
808233,CheckIfEvent_inA_HasHappened,
80824A,.marked,
80824F,Write_supermetroid_ToSRAM,
808253,.loop,
808261,CheckForNonCorruptSRAM,
808286,.corruptLoop,
808294,.nonCorrupt,
808297,.nonCorruptLoop,
8082AB,.return,
8082AD,Text_madadameyohn,
8082B9,Text_supermetroid,
8082C5,WaitUntilTheEndOfAVBlank,
8082C9,.waitVBlankStart,
8082CE,.waitVBlankEnd,
8082D6,A_Y_16bit_UnsignedMultiplication,
808338,WaitForNMI,
808343,.wait,
80834B,EnableNMI,
80835D,DisableNMI,
80836F,SetForceBlankAndWaitForNMI,
808382,ClearForceBlankAndWaitForNMI,
808395,UNUSED_UpdateCGRAM_808395,
8083BD,UNUSED_WriteYBytesOfATo_000000_X_8bit_8083BD,
8083C5,.loop,
8083D0,UNUSED_WriteYBytesOfATo_000000_X_16bit_8083D0,
8083D6,.loop,
8083E3,UNUSED_WriteYBytesOfATo_7E0000_X_8bit_8083E3,
8083EB,.loop,
8083F6,WriteYBytesOfATo_7E0000_X_16bit,
8083FC,.loop,
808409,WriteYBytesOfATo_7F0000_X_16bit,
80840F,.loop,
80841C,Boot,
808423,.bank80,
80843C,.wait3Frames,
808441,..wait,
80844E,.loop,
808462,SoftReset,
808475,.wait,
80847A,.wait3Frames,
808482,CommonBootSection,
808493,.clearBank7E,
808525,.wait,
80852A,.wait3Frames,
808573,Crash_Handler,
808577,UNUSED_WaitAFrames_808577,
808580,.waitNMI,
80858C,LoadMirrorOfCurrentAreasMapExplored,
808597,.loop,
8085B6,UNUSED_Generic_Bitmasks,
8085C6,MirrorCurrentAreasMapExplored,
8085D1,.loop,
8085F4,.return,
8085F6,NTSC_PAL_SRAM_MappingCheck,
808602,.region,
808614,.japan,
80861B,.failedRegion,
808691,.gotoCrash,
808693,.SRAMCheck,
808698,.backupSRAM,
8086AA,.clearSRAM,
8086B8,.writeSRAM,
8086C7,.loop,
8086D0,.verifySRAM,
8086D5,.restoreSRAM,
8086E1,.return,
8086E3,.failedSRAMCheck,
80875B,.crash,
80875D,Initialise_CPU_IO_Registers,
808792,InitialisePPURegisters,
8088B4,UNUSED_ClearHighRAM_8088B4,
8088D1,WriteALoadOf_1C2F,
8088EB,Write_800h_Bytes_Of_A_To_7E3000,
8088FE,Write_800h_Bytes_Of_A_To_7E4000,
808911,Write_800h_Bytes_Of_A_To_7E6000,
808924,HandleFadingOut,
808932,.fadeOut,
808949,.disableFBlank,
80894B,.return,
80894D,HandleFadingIn,
80895B,.fadeIn,
80896C,.return,
80896E,Finalise_OAM,
80898D,.clearOAMStackPointer,
808992,.spriteY00F0,
808B1A,ClearHighOAM,
808B4F,QueueMode7Transfers,
808B55,.loop,
808B62,.CGRAM,
808B8B,.VRAM,
808BBA,HandleMode7Transfers,
808BD1,.return,
808BD3,ProcessMode7Transfers,
808BD4,.loop,
808BE0,.CGRAM,
808C11,.VRAM,
808C4B,.VRAMTiles,
808C83,HandleVRAMWriteTable_ScrollingDMAs,
808C96,.loop,
808CB2,.skip,
808CC9,.done,
808CD8,ExecuteHorizontalScrollingDMAs,
808D44,.BG2,
808DAB,.return,
808DAC,ExecuteVerticalScrollingDMAs,
808E26,.BG2,
808E86,.crash,
808E88,.continue,
808EA1,.return,
808EA2,HandleVRAMReadTable,
808EAC,.readTable,
808EB6,.loop,
808EEF,.done,
808EF4,CheckIfMusicIsQueued,
808EFB,.loop,
808F08,.nonZeroTimer,
808F0C,HandleMusicQueue,
808F18,.positive,
808F47,.negative,
808F5D,.clearTimer,
808F62,.musicData,
808FA3,UNUSED_QueueMusicDataOrTrack_808FA3,
808FC1,QueueMusicDataOrTrack_8FrameDelay,
808FF3,.return,
808FF7,QueueMusicDataOrTrack_YFrameDelay,
809012,.setTimer,
80901E,.return,
809021,QueueSound,
80902B,QueueSound_Lib1_Max9,
809035,QueueSound_Lib1_Max3,
80903F,QueueSound_Lib1_Max1,
809049,QueueSound_Lib1_Max6,
809051,QueueSound_Lib1,
809084,.queueSound,
809092,.return,
809096,.queueFull,
8090A3,QueueSound_Lib2_Max15,
8090AD,QueueSound_Lib2_Max9,
8090B7,QueueSound_Lib2_Max3,
8090C1,QueueSound_Lib2_Max1,
8090CB,QueueSound_Lib2_Max6,
8090D3,QueueSound_Lib2,
809106,.queueSound,
809114,.return,
809118,.queueFull,
809125,QueueSound_Lib3_Max15,
80912F,QueueSound_Lib3_Max9,
809139,QueueSound_Lib3_Max3,
809143,QueueSound_Lib3_Max1,
80914D,QueueSound_Lib3_Max6,
809155,QueueSound_Lib3,
809188,.queueSound,
809196,.return,
80919A,.queueFull,
